compound_encoded,TyreLife,tyre_life_norm,LapNumber,lapnumber_norm,StintNumber,LapTimeSeconds,Race,Driver
0,5.0,0.0,2.0,0.03508771929824561,1,96.296,Bahrain,VER
0,6.0,0.0714285204081997,3.0,0.05263157894736842,1,96.753,Bahrain,VER
0,7.0,0.1428570408163994,4.0,0.07017543859649122,1,96.647,Bahrain,VER
0,8.0,0.21428556122459913,5.0,0.08771929824561403,1,97.173,Bahrain,VER
0,9.0,0.2857140816327988,6.0,0.10526315789473684,1,97.092,Bahrain,VER
0,10.0,0.35714260204099857,7.0,0.12280701754385964,1,97.038,Bahrain,VER
0,11.0,0.42857112244919826,8.0,0.14035087719298245,1,97.024,Bahrain,VER
0,12.0,0.49999964285739795,9.0,0.15789473684210525,1,97.229,Bahrain,VER
0,13.0,0.5714281632655976,10.0,0.17543859649122806,1,96.96,Bahrain,VER
0,14.0,0.6428566836737974,11.0,0.19298245614035087,1,97.085,Bahrain,VER
0,15.0,0.7142852040819971,12.0,0.21052631578947367,1,97.045,Bahrain,VER
0,16.0,0.7857137244901968,13.0,0.22807017543859648,1,97.03,Bahrain,VER
0,17.0,0.8571422448983965,14.0,0.24561403508771928,1,97.028,Bahrain,VER
0,18.0,0.9285707653065962,15.0,0.2631578947368421,1,97.011,Bahrain,VER
0,19.0,0.9999992857147959,16.0,0.2807017543859649,1,97.168,Bahrain,VER
2,2.0,0.0,19.0,0.3333333333333333,2,95.283,Bahrain,VER
2,3.0,0.058823494809708936,20.0,0.3508771929824561,2,95.16,Bahrain,VER
2,4.0,0.11764698961941787,21.0,0.3684210526315789,2,95.316,Bahrain,VER
2,5.0,0.1764704844291268,22.0,0.38596491228070173,2,95.204,Bahrain,VER
2,6.0,0.23529397923883574,23.0,0.40350877192982454,2,95.216,Bahrain,VER
2,7.0,0.29411747404854466,24.0,0.42105263157894735,2,95.289,Bahrain,VER
2,8.0,0.3529409688582536,25.0,0.43859649122807015,2,95.342,Bahrain,VER
2,9.0,0.41176446366796254,26.0,0.45614035087719296,2,95.223,Bahrain,VER
2,10.0,0.4705879584776715,27.0,0.47368421052631576,2,95.581,Bahrain,VER
2,11.0,0.5294114532873805,28.0,0.49122807017543857,2,95.477,Bahrain,VER
2,12.0,0.5882349480970893,29.0,0.5087719298245614,2,95.793,Bahrain,VER
2,13.0,0.6470584429067983,30.0,0.5263157894736842,2,95.771,Bahrain,VER
2,14.0,0.7058819377165072,31.0,0.543859649122807,2,95.679,Bahrain,VER
2,15.0,0.7647054325262161,32.0,0.5614035087719298,2,95.886,Bahrain,VER
2,16.0,0.8235289273359251,33.0,0.5789473684210527,2,95.863,Bahrain,VER
2,17.0,0.882352422145634,34.0,0.5964912280701754,2,96.133,Bahrain,VER
2,18.0,0.941175916955343,35.0,0.6140350877192983,2,96.018,Bahrain,VER
2,19.0,0.9999994117650519,36.0,0.631578947368421,2,96.205,Bahrain,VER
0,2.0,0.0,39.0,0.6842105263157895,3,92.608,Bahrain,VER
0,3.0,0.055555524691375174,40.0,0.7017543859649122,3,96.589,Bahrain,VER
0,4.0,0.11111104938275035,41.0,0.7192982456140351,3,95.29,Bahrain,VER
0,5.0,0.16666657407412552,42.0,0.7368421052631579,3,94.667,Bahrain,VER
0,6.0,0.2222220987655007,43.0,0.7543859649122807,3,94.151,Bahrain,VER
0,7.0,0.27777762345687584,44.0,0.7719298245614035,3,94.531,Bahrain,VER
0,8.0,0.33333314814825105,45.0,0.7894736842105263,3,94.249,Bahrain,VER
0,9.0,0.3888886728396262,46.0,0.8070175438596491,3,94.193,Bahrain,VER
0,10.0,0.4444441975310014,47.0,0.8245614035087719,3,94.239,Bahrain,VER
0,11.0,0.49999972222237654,48.0,0.8421052631578947,3,94.35,Bahrain,VER
0,12.0,0.5555552469137517,49.0,0.8596491228070176,3,94.403,Bahrain,VER
0,13.0,0.611110771605127,50.0,0.8771929824561403,3,94.783,Bahrain,VER
0,14.0,0.6666662962965021,51.0,0.8947368421052632,3,94.34,Bahrain,VER
0,15.0,0.7222218209878772,52.0,0.9122807017543859,3,94.906,Bahrain,VER
0,16.0,0.7777773456792524,53.0,0.9298245614035088,3,95.6,Bahrain,VER
0,17.0,0.8333328703706276,54.0,0.9473684210526315,3,95.334,Bahrain,VER
0,18.0,0.8888883950620028,55.0,0.9649122807017544,3,95.184,Bahrain,VER
0,19.0,0.9444439197533779,56.0,0.9824561403508771,3,94.671,Bahrain,VER
0,20.0,0.9999994444447531,57.0,1.0,3,94.923,Bahrain,VER
0,5.0,0.0,2.0,0.03508771929824561,1,96.541,Bahrain,PER
0,6.0,0.11111098765445816,3.0,0.05263157894736842,1,97.297,Bahrain,PER
0,7.0,0.22222197530891633,4.0,0.07017543859649122,1,97.722,Bahrain,PER
0,8.0,0.3333329629633745,5.0,0.08771929824561403,1,98.044,Bahrain,PER
0,9.0,0.44444395061783265,6.0,0.10526315789473684,1,97.823,Bahrain,PER
0,10.0,0.5555549382722909,7.0,0.12280701754385964,1,97.821,Bahrain,PER
0,11.0,0.666665925926749,8.0,0.14035087719298245,1,97.838,Bahrain,PER
0,12.0,0.7777769135812072,9.0,0.15789473684210525,1,97.596,Bahrain,PER
0,13.0,0.8888879012356653,10.0,0.17543859649122806,1,97.63,Bahrain,PER
0,14.0,0.9999988888901234,11.0,0.19298245614035087,1,97.836,Bahrain,PER
2,2.0,0.0,14.0,0.24561403508771928,2,95.606,Bahrain,PER
2,3.0,0.04761902494332146,15.0,0.2631578947368421,2,96.815,Bahrain,PER
2,4.0,0.09523804988664292,16.0,0.2807017543859649,2,95.783,Bahrain,PER
2,5.0,0.14285707482996438,17.0,0.2982456140350877,2,96.454,Bahrain,PER
2,6.0,0.19047609977328583,18.0,0.3157894736842105,2,96.311,Bahrain,PER
2,7.0,0.2380951247166073,19.0,0.3333333333333333,2,96.038,Bahrain,PER
2,8.0,0.28571414965992875,20.0,0.3508771929824561,2,96.278,Bahrain,PER
2,9.0,0.3333331746032502,21.0,0.3684210526315789,2,96.165,Bahrain,PER
2,10.0,0.38095219954657167,22.0,0.38596491228070173,2,96.037,Bahrain,PER
2,11.0,0.4285712244898931,23.0,0.40350877192982454,2,96.249,Bahrain,PER
2,12.0,0.4761902494332146,24.0,0.42105263157894735,2,96.211,Bahrain,PER
2,13.0,0.523809274376536,25.0,0.43859649122807015,2,96.344,Bahrain,PER
2,14.0,0.5714282993198575,26.0,0.45614035087719296,2,96.347,Bahrain,PER
2,15.0,0.619047324263179,27.0,0.47368421052631576,2,96.233,Bahrain,PER
2,16.0,0.6666663492065004,28.0,0.49122807017543857,2,96.226,Bahrain,PER
2,17.0,0.7142853741498219,29.0,0.5087719298245614,2,96.437,Bahrain,PER
2,18.0,0.7619043990931433,30.0,0.5263157894736842,2,96.313,Bahrain,PER
2,19.0,0.8095234240364647,31.0,0.543859649122807,2,96.339,Bahrain,PER
2,20.0,0.8571424489797862,32.0,0.5614035087719298,2,96.276,Bahrain,PER
2,21.0,0.9047614739231077,33.0,0.5789473684210527,2,96.564,Bahrain,PER
2,22.0,0.9523804988664292,34.0,0.5964912280701754,2,96.378,Bahrain,PER
2,23.0,0.9999995238097505,35.0,0.6140350877192983,2,96.776,Bahrain,PER
0,2.0,0.0,38.0,0.6666666666666666,3,94.804,Bahrain,PER
0,3.0,0.05263155124655198,39.0,0.6842105263157895,3,94.607,Bahrain,PER
0,4.0,0.10526310249310396,40.0,0.7017543859649122,3,94.364,Bahrain,PER
0,5.0,0.15789465373965592,41.0,0.7192982456140351,3,94.4,Bahrain,PER
0,6.0,0.21052620498620792,42.0,0.7368421052631579,3,94.525,Bahrain,PER
0,7.0,0.2631577562327599,43.0,0.7543859649122807,3,94.797,Bahrain,PER
0,8.0,0.31578930747931183,44.0,0.7719298245614035,3,94.799,Bahrain,PER
0,9.0,0.36842085872586383,45.0,0.7894736842105263,3,94.592,Bahrain,PER
0,10.0,0.42105240997241583,46.0,0.8070175438596491,3,94.844,Bahrain,PER
0,11.0,0.4736839612189678,47.0,0.8245614035087719,3,94.73,Bahrain,PER
0,12.0,0.5263155124655198,48.0,0.8421052631578947,3,94.885,Bahrain,PER
0,13.0,0.5789470637120717,49.0,0.8596491228070176,3,94.966,Bahrain,PER
0,14.0,0.6315786149586237,50.0,0.8771929824561403,3,95.082,Bahrain,PER
0,15.0,0.6842101662051757,51.0,0.8947368421052632,3,94.94,Bahrain,PER
0,16.0,0.7368417174517277,52.0,0.9122807017543859,3,95.183,Bahrain,PER
0,17.0,0.7894732686982796,53.0,0.9298245614035088,3,95.842,Bahrain,PER
0,18.0,0.8421048199448317,54.0,0.9473684210526315,3,95.459,Bahrain,PER
0,19.0,0.8947363711913836,55.0,0.9649122807017544,3,95.611,Bahrain,PER
0,20.0,0.9473679224379356,56.0,0.9824561403508771,3,95.568,Bahrain,PER
0,21.0,0.9999994736844876,57.0,1.0,3,95.746,Bahrain,PER
0,5.0,0.0,2.0,0.03508771929824561,1,97.236,Bahrain,SAI
0,6.0,0.09090900826453795,3.0,0.05263157894736842,1,97.08,Bahrain,SAI
0,7.0,0.1818180165290759,4.0,0.07017543859649122,1,97.264,Bahrain,SAI
0,8.0,0.2727270247936138,5.0,0.08771929824561403,1,98.032,Bahrain,SAI
0,9.0,0.3636360330581518,6.0,0.10526315789473684,1,97.741,Bahrain,SAI
0,10.0,0.45454504132268975,7.0,0.12280701754385964,1,98.26,Bahrain,SAI
0,11.0,0.5454540495872277,8.0,0.14035087719298245,1,98.183,Bahrain,SAI
0,12.0,0.6363630578517656,9.0,0.15789473684210525,1,98.03,Bahrain,SAI
0,13.0,0.7272720661163036,10.0,0.17543859649122806,1,97.608,Bahrain,SAI
0,14.0,0.8181810743808415,11.0,0.19298245614035087,1,97.656,Bahrain,SAI
0,15.0,0.9090900826453795,12.0,0.21052631578947367,1,97.65,Bahrain,SAI
0,16.0,0.9999990909099173,13.0,0.22807017543859648,1,97.243,Bahrain,SAI
2,2.0,0.0,16.0,0.2807017543859649,2,96.376,Bahrain,SAI
2,3.0,0.055555524691375174,17.0,0.2982456140350877,2,95.507,Bahrain,SAI
2,4.0,0.11111104938275035,18.0,0.3157894736842105,2,96.088,Bahrain,SAI
